goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number b5bdaedc,T #3,fire_team_a,manoeuvre,false,n1,n5,type_b,2,6965,28050,60595,2,3,1,Radio90s200,1,n_a
Goal number b5bdaedc,T #4,fire_team_a,manoeuvre,false,n3,n4,type_b,2,7059,35175,60595,2,3,1,Radio90s200,1,n_a
Goal number b5bdaedc,T #5,fire_team_a,manoeuvre,false,n2,n2,type_a,1,17443,52673,60595,2,3,1,Radio90s200,1,n_a
Goal number b5bdaedc,T #6,fire_team_a,manoeuvre,false,n1,n2,type_b,2,7723,60460,60595,2,3,1,Radio90s200,1,n_a
Goal number 7f8f32ac,T #1,fire_team_a,manoeuvre,false,n1,n3,type_a,2,29841,29918,82551,3,0,3,Radio90s200,1,n_a
Goal number 7f8f32ac,T #2,fire_team_a,manoeuvre,false,n3,n5,type_a,1,10311,40288,82551,3,0,3,Radio90s200,1,n_a
Goal number 7f8f32ac,T #3,fire_team_a,manoeuvre,false,n2,n3,type_c,2,10341,50676,82551,3,0,3,Radio90s200,1,n_a
Goal number 7f8f32ac,T #4,fire_team_a,manoeuvre,false,n1,n5,type_c,1,5313,56056,82551,3,0,3,Radio90s200,1,n_a
Goal number 7f8f32ac,T #5,fire_team_a,manoeuvre,false,n3,n1,type_a,2,20273,76375,82551,3,0,3,Radio90s200,1,n_a
Goal number 7f8f32ac,T #6,fire_team_a,manoeuvre,false,n2,n3,type_c,1,6099,82523,82551,3,0,3,Radio90s200,1,n_a
Goal number a4e2e8cd,T #1,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10317,10378,70749,2,1,3,Radio90s200,1,n_a
Goal number a4e2e8cd,T #2,fire_team_a,manoeuvre,false,n2,n6,type_b,1,3700,14147,70749,2,1,3,Radio90s200,1,n_a
Goal number a4e2e8cd,T #3,fire_team_a,manoeuvre,false,n1,n2,type_c,1,5408,19643,70749,2,1,3,Radio90s200,1,n_a
