goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 77cb2c04,T #1,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10346,10479,94255,4,1,1,Radio30s200,1,n_a
Goal number 77cb2c04,T #2,fire_team_a,manoeuvre,false,n1,n1,type_c,3,15309,25831,94255,4,1,1,Radio30s200,1,n_a
Goal number 77cb2c04,T #3,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10254,36153,94255,4,1,1,Radio30s200,1,n_a
Goal number 77cb2c04,T #4,fire_team_a,manoeuvre,false,n3,n3,type_a,2,20201,56414,94255,4,1,1,Radio30s200,1,n_a
Goal number 77cb2c04,T #5,fire_team_b,defence,false,n6,n6,type_a,3,30320,86803,94255,4,1,1,Radio30s200,1,n_a
Goal number 77cb2c04,T #6,fire_team_b,defence,false,n4,n4,type_b,2,7361,94218,94255,4,1,1,Radio30s200,1,n_a
Goal number f34f40df,T #1,fire_team_a,manoeuvre,false,n1,n1,type_c,1,5251,5305,52157,1,3,2,Radio30s200,1,n_a
Goal number f34f40df,T #2,fire_team_b,defence,false,n5,n5,type_c,3,15269,20633,52157,1,3,2,Radio30s200,1,n_a
Goal number f34f40df,T #3,fire_team_b,defence,false,n6,n6,type_b,1,3736,24420,52157,1,3,2,Radio30s200,1,n_a
Goal number f34f40df,T #4,fire_team_b,defence,false,n6,n6,type_b,1,13597,38081,52157,1,3,2,Radio30s200,1,n_a
Goal number f34f40df,T #5,fire_team_b,defence,false,n4,n4,type_a,1,10337,48482,52157,1,3,2,Radio30s200,1,n_a
Goal number f34f40df,T #6,fire_team_b,defence,false,n5,n5,type_b,1,3588,52123,52157,1,3,2,Radio30s200,1,n_a
Goal number 18685dd8,T #1,fire_team_b,defence,false,n6,n6,type_a,1,10216,10270,105224,3,2,1,Radio30s200,1,n_a
Goal number 18685dd8,T #2,fire_team_a,manoeuvre,false,n2,n2,type_a,3,30265,40593,105224,3,2,1,Radio30s200,1,n_a
Goal number 18685dd8,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,10339,51002,105224,3,2,1,Radio30s200,1,n_a
Goal number 18685dd8,T #4,fire_team_b,defence,false,n4,n4,type_b,1,3730,54788,105224,3,2,1,Radio30s200,1,n_a
Goal number 18685dd8,T #5,fire_team_b,defence,false,n6,n6,type_b,3,11073,65923,105224,3,2,1,Radio30s200,1,n_a
Goal number 18685dd8,T #6,fire_team_a,manoeuvre,false,n3,n3,type_a,3,39179,105158,105224,3,2,1,Radio30s200,1,n_a
Goal number 7f99db97,T #1,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10304,10371,86553,2,0,4,Radio30s200,1,n_a
Goal number 7f99db97,T #2,fire_team_a,manoeuvre,false,n1,n1,type_a,3,30445,40875,86553,2,0,4,Radio30s200,1,n_a
Goal number 7f99db97,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,14541,55452,86553,2,0,4,Radio30s200,1,n_a
