goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 7f99db97,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,56981,97810,139719,2,0,4,SwitchMode1,1,n_a
Goal number 7f99db97,T #4,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10223,108184,139719,2,0,4,SwitchMode1,1,n_a
Goal number 7f99db97,T #5,fire_team_b,defence,false,n4,n4,type_c,2,10245,118482,139719,2,0,4,SwitchMode1,1,n_a
Goal number 7f99db97,T #6,fire_team_a,manoeuvre,false,n1,n1,type_c,2,21160,139684,139719,2,0,4,SwitchMode1,1,n_a
Goal number 7f8f32ac,T #1,fire_team_a,manoeuvre,false,n3,n3,type_a,2,25588,25668,93879,3,0,3,SwitchMode1,1,n_a
Goal number 7f8f32ac,T #2,fire_team_b,defence,false,n5,n5,type_a,1,10228,35945,93879,3,0,3,SwitchMode1,1,n_a
Goal number 7f8f32ac,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,16869,52878,93879,3,0,3,SwitchMode1,1,n_a
Goal number 7f8f32ac,T #4,fire_team_b,defence,false,n5,n5,type_c,1,5223,58175,93879,3,0,3,SwitchMode1,1,n_a
Goal number 7f8f32ac,T #5,fire_team_a,manoeuvre,false,n1,n1,type_a,2,29634,87877,93879,3,0,3,SwitchMode1,1,n_a
Goal number 7f8f32ac,T #6,fire_team_a,manoeuvre,false,n3,n3,type_c,1,5896,93834,93879,3,0,3,SwitchMode1,1,n_a
Goal number a4e2e8cd,T #1,fire_team_a,manoeuvre,false,n2,n2,type_a,1,11468,11541,72142,2,1,3,SwitchMode1,1,n_a
Goal number a4e2e8cd,T #2,fire_team_b,defence,false,n6,n6,type_b,1,3557,15164,72142,2,1,3,SwitchMode1,1,n_a
Goal number a4e2e8cd,T #3,fire_team_a,manoeuvre,false,n2,n2,type_c,1,5233,20465,72142,2,1,3,SwitchMode1,1,n_a
Goal number a4e2e8cd,T #4,fire_team_a,manoeuvre,false,n2,n2,type_c,3,15211,35727,72142,2,1,3,SwitchMode1,1,n_a
Goal number a4e2e8cd,T #5,fire_team_a,manoeuvre,false,n1,n1,type_c,1,5222,41005,72142,2,1,3,SwitchMode1,1,n_a
Goal number a4e2e8cd,T #6,fire_team_b,defence,false,n6,n6,type_a,3,31011,72091,72142,2,1,3,SwitchMode1,1,n_a
Goal number 6dfbee27,T #1,fire_team_a,manoeuvre,false,n1,n1,type_b,3,11593,11677,77145,1,2,3,SwitchMode1,1,n_a
Goal number 6dfbee27,T #2,fire_team_b,defence,false,n6,n6,type_a,2,20233,31977,77145,1,2,3,SwitchMode1,1,n_a
Goal number 6dfbee27,T #3,fire_team_a,manoeuvre,false,n2,n2,type_c,2,11898,43951,77145,1,2,3,SwitchMode1,1,n_a
Goal number 6dfbee27,T #4,fire_team_a,manoeuvre,false,n1,n1,type_c,2,10317,54410,77145,1,2,3,SwitchMode1,1,n_a
Goal number 6dfbee27,T #5,fire_team_a,manoeuvre,false,n2,n2,type_b,2,6912,61398,77145,1,2,3,SwitchMode1,1,n_a
Goal number 6dfbee27,T #6,fire_team_b,defence,false,n6,n6,type_c,3,15619,77092,77145,1,2,3,SwitchMode1,1,n_a
Goal number a0a03a8d,T #1,fire_team_b,defence,false,n4,n4,type_a,1,31871,31943,96613,2,2,2,SwitchMode1,1,n_a
Goal number a0a03a8d,T #2,fire_team_a,manoeuvre,false,n3,n3,type_b,2,6910,39020,96613,2,2,2,SwitchMode1,1,n_a
Goal number a0a03a8d,T #3,fire_team_b,defence,false,n6,n6,type_c,3,21719,60793,96613,2,2,2,SwitchMode1,1,n_a
Goal number a0a03a8d,T #4,fire_team_b,defence,false,n4,n4,type_b,3,10332,71179,96613,2,2,2,SwitchMode1,1,n_a
Goal number a0a03a8d,T #5,fire_team_b,defence,false,n6,n6,type_a,1,15029,86265,96613,2,2,2,SwitchMode1,1,n_a
Goal number a0a03a8d,T #6,fire_team_a,manoeuvre,false,n1,n1,type_c,2,10255,96574,96613,2,2,2,SwitchMode1,1,n_a
Goal number e8ce562c,T #1,fire_team_b,defence,false,n6,n6,type_b,2,6927,7000,101868,1,3,2,SwitchMode1,1,n_a
Goal number e8ce562c,T #2,fire_team_b,defence,false,n4,n4,type_b,3,31096,38233,101868,1,3,2,SwitchMode1,1,n_a
Goal number e8ce562c,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,10235,48535,101868,1,3,2,SwitchMode1,1,n_a
Goal number e8ce562c,T #4,fire_team_b,defence,false,n4,n4,type_a,3,30296,78892,101868,1,3,2,SwitchMode1,1,n_a
Goal number e8ce562c,T #5,fire_team_a,manoeuvre,false,n3,n3,type_c,1,13761,92719,101868,1,3,2,SwitchMode1,1,n_a
Goal number e8ce562c,T #6,fire_team_b,defence,false,n5,n5,type_b,2,9041,101820,101868,1,3,2,SwitchMode1,1,n_a
Goal number 65648d2b,T #1,fire_team_a,manoeuvre,false,n2,n2,type_c,3,15218,15310,62841,1,3,2,SwitchMode1,1,n_a
Goal number 65648d2b,T #2,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10323,25706,62841,1,3,2,SwitchMode1,1,n_a
Goal number 65648d2b,T #3,fire_team_b,defence,false,n4,n4,type_b,2,6891,32676,62841,1,3,2,SwitchMode1,1,n_a
Goal number 65648d2b,T #4,fire_team_a,manoeuvre,false,n1,n1,type_b,1,8763,41497,62841,1,3,2,SwitchMode1,1,n_a
Goal number 65648d2b,T #5,fire_team_a,manoeuvre,false,n2,n2,type_b,1,3580,45135,62841,1,3,2,SwitchMode1,1,n_a
Goal number 65648d2b,T #6,fire_team_a,manoeuvre,false,n3,n3,type_c,3,17521,62799,62841,1,3,2,SwitchMode1,1,n_a
Goal number 29ed323e,T #1,fire_team_b,defence,false,n6,n6,type_a,2,20228,20300,106649,2,0,4,SwitchMode1,1,n_a
Goal number 29ed323e,T #2,fire_team_b,defence,false,n5,n5,type_c,2,10201,30557,106649,2,0,4,SwitchMode1,1,n_a
Goal number 29ed323e,T #3,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10244,40881,106649,2,0,4,SwitchMode1,1,n_a
Goal number 29ed323e,T #4,fire_team_a,manoeuvre,false,n1,n1,type_c,1,5342,46287,106649,2,0,4,SwitchMode1,1,n_a
Goal number 29ed323e,T #5,fire_team_a,defence,false,n2,n2,type_c,3,39944,86286,106649,2,0,4,SwitchMode1,1,n_a
Goal number 29ed323e,T #6,fire_team_a,defence,false,n1,n1,type_a,2,20261,106607,106649,2,0,4,SwitchMode1,1,n_a
Goal number e2611981,T #1,fire_team_a,manoeuvre,false,n3,n3,type_c,3,30843,30909,159205,2,2,2,SwitchMode1,1,n_a
Goal number e2611981,T #2,fire_team_a,manoeuvre,false,n2,n2,type_b,3,10295,41266,159205,2,2,2,SwitchMode1,1,n_a
Goal number e2611981,T #3,fire_team_a,manoeuvre,false,n1,n1,type_a,3,37454,78774,159205,2,2,2,SwitchMode1,1,n_a
Goal number e2611981,T #4,fire_team_a,manoeuvre,false,n3,n3,type_b,2,13812,92651,159205,2,2,2,SwitchMode1,1,n_a
Goal number e2611981,T #5,fire_team_a,defence,false,n2,n2,type_a,1,50967,143689,159205,2,2,2,SwitchMode1,1,n_a
Goal number e2611981,T #6,fire_team_b,manoeuvre,false,n6,n6,type_c,3,15408,159167,159205,2,2,2,SwitchMode1,1,n_a
Goal number 3d41497e,T #1,fire_team_a,manoeuvre,false,n3,n3,type_a,1,10254,10322,115928,3,1,2,SwitchMode1,1,n_a
Goal number 3d41497e,T #2,fire_team_b,defence,false,n6,n6,type_a,3,35731,46106,115928,3,1,2,SwitchMode1,1,n_a
Goal number 3d41497e,T #3,fire_team_b,manoeuvre,false,n4,n4,type_b,2,6936,53099,115928,3,1,2,SwitchMode1,1,n_a
Goal number 3d41497e,T #4,fire_team_b,manoeuvre,false,n6,n6,type_c,3,15227,68397,115928,3,1,2,SwitchMode1,1,n_a
Goal number 3d41497e,T #5,fire_team_b,manoeuvre,false,n4,n4,type_a,3,30408,98863,115928,3,1,2,SwitchMode1,1,n_a
Goal number 3d41497e,T #6,fire_team_b,manoeuvre,false,n4,n4,type_c,2,16934,115871,115928,3,1,2,SwitchMode1,1,n_a
Goal number d62b9e78,T #1,fire_team_b,defence,false,n5,n5,type_a,3,31922,31991,128279,2,1,3,SwitchMode1,1,n_a
