goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 7f8f32ac,T #2,fire_team_a,manoeuvre,false,n1,n5,type_a,1,10606,31024,72588,3,0,3,SwitchMode1,2,n_a
Goal number 7f8f32ac,T #3,fire_team_a,manoeuvre,false,n1,n3,type_c,2,10350,41426,72588,3,0,3,SwitchMode1,2,n_a
Goal number 7f8f32ac,T #4,fire_team_a,manoeuvre,false,n1,n5,type_c,1,5312,46766,72588,3,0,3,SwitchMode1,2,n_a
Goal number 7f8f32ac,T #5,fire_team_a,manoeuvre,false,n2,n1,type_a,2,20335,67152,72588,3,0,3,SwitchMode1,2,n_a
Goal number 7f8f32ac,T #6,fire_team_a,manoeuvre,false,n2,n3,type_c,1,5253,72469,72588,3,0,3,SwitchMode1,2,n_a
Goal number b5bdaedc,T #1,fire_team_a,manoeuvre,false,n2,n2,type_c,1,5347,5409,54544,2,3,1,SwitchMode1,2,n_a
Goal number b5bdaedc,T #2,fire_team_a,manoeuvre,false,n2,n4,type_a,1,10361,15831,54544,2,3,1,SwitchMode1,2,n_a
Goal number b5bdaedc,T #3,fire_team_a,manoeuvre,false,n2,n5,type_b,2,6950,22916,54544,2,3,1,SwitchMode1,2,n_a
Goal number b5bdaedc,T #4,fire_team_a,manoeuvre,false,n3,n4,type_b,2,7094,30043,54544,2,3,1,SwitchMode1,2,n_a
Goal number b5bdaedc,T #5,fire_team_a,manoeuvre,false,n3,n2,type_a,1,10253,40349,54544,2,3,1,SwitchMode1,2,n_a
Goal number b5bdaedc,T #6,fire_team_a,manoeuvre,false,n1,n2,type_b,2,14043,54432,54544,2,3,1,SwitchMode1,2,n_a
Goal number a4e2e8cd,T #1,fire_team_a,manoeuvre,false,n3,n2,type_a,1,10346,10424,70764,2,1,3,SwitchMode1,2,n_a
Goal number a4e2e8cd,T #2,fire_team_a,manoeuvre,false,n3,n6,type_b,1,3656,14137,70764,2,1,3,SwitchMode1,2,n_a
Goal number a4e2e8cd,T #3,fire_team_a,manoeuvre,false,n3,n2,type_c,1,5376,19570,70764,2,1,3,SwitchMode1,2,n_a
Goal number a4e2e8cd,T #4,fire_team_a,manoeuvre,false,n1,n2,type_c,3,15330,34954,70764,2,1,3,SwitchMode1,2,n_a
Goal number a4e2e8cd,T #5,fire_team_a,manoeuvre,false,n3,n1,type_c,1,5301,40324,70764,2,1,3,SwitchMode1,2,n_a
Goal number a4e2e8cd,T #6,fire_team_a,manoeuvre,false,n1,n6,type_a,3,30360,70737,70764,2,1,3,SwitchMode1,2,n_a
Goal number a0a03a8d,T #1,fire_team_a,manoeuvre,false,n3,n4,type_a,1,10417,10498,72015,2,2,2,SwitchMode1,2,n_a
Goal number a0a03a8d,T #2,fire_team_a,manoeuvre,false,n2,n3,type_b,2,6971,17515,72015,2,2,2,SwitchMode1,2,n_a
Goal number a0a03a8d,T #3,fire_team_a,manoeuvre,false,n2,n6,type_c,3,23254,40833,72015,2,2,2,SwitchMode1,2,n_a
Goal number a0a03a8d,T #4,fire_team_a,manoeuvre,false,n3,n4,type_b,3,10354,51249,72015,2,2,2,SwitchMode1,2,n_a
Goal number a0a03a8d,T #5,fire_team_a,manoeuvre,false,n2,n6,type_a,1,10344,61654,72015,2,2,2,SwitchMode1,2,n_a
Goal number a0a03a8d,T #6,fire_team_a,manoeuvre,false,n3,n1,type_c,2,10284,71989,72015,2,2,2,SwitchMode1,2,n_a
Goal number e8ce562c,T #1,fire_team_a,manoeuvre,false,n2,n6,type_b,2,6933,7002,76158,1,3,2,SwitchMode1,2,n_a
Goal number e8ce562c,T #2,fire_team_a,manoeuvre,false,n1,n4,type_b,3,15599,22658,76158,1,3,2,SwitchMode1,2,n_a
Goal number e8ce562c,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,10338,33060,76158,1,3,2,SwitchMode1,2,n_a
Goal number e8ce562c,T #4,fire_team_a,manoeuvre,false,n1,n4,type_a,3,30406,63524,76158,1,3,2,SwitchMode1,2,n_a
Goal number e8ce562c,T #5,fire_team_a,manoeuvre,false,n2,n3,type_c,1,5394,68975,76158,1,3,2,SwitchMode1,2,n_a
Goal number e8ce562c,T #6,fire_team_a,manoeuvre,false,n1,n5,type_b,2,7019,76045,76158,1,3,2,SwitchMode1,2,n_a
Goal number 6dfbee27,T #1,fire_team_a,manoeuvre,false,n1,n1,type_b,3,10269,10351,74153,1,2,3,SwitchMode1,2,n_a
Goal number 6dfbee27,T #2,fire_team_a,manoeuvre,false,n1,n6,type_a,2,20313,30815,74153,1,2,3,SwitchMode1,2,n_a
Goal number 6dfbee27,T #3,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10408,41277,74153,1,2,3,SwitchMode1,2,n_a
Goal number 6dfbee27,T #4,fire_team_a,manoeuvre,false,n2,n1,type_c,2,10326,51681,74153,1,2,3,SwitchMode1,2,n_a
Goal number 6dfbee27,T #5,fire_team_a,manoeuvre,false,n1,n2,type_b,2,7008,58739,74153,1,2,3,SwitchMode1,2,n_a
Goal number 6dfbee27,T #6,fire_team_a,manoeuvre,false,n1,n6,type_c,3,15311,74118,74153,1,2,3,SwitchMode1,2,n_a
