goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number f34f40df,T #1,fire_team_a,manoeuvre,false,n3,n1,type_c,1,5316,5367,43817,1,3,2,Active_v1,1,n_a
Goal number f34f40df,T #2,fire_team_b,manoeuvre,false,n6,n5,type_c,3,15354,20754,43817,1,3,2,Active_v1,1,n_a
Goal number f34f40df,T #3,fire_team_a,manoeuvre,false,n1,n6,type_b,1,3653,24452,43817,1,3,2,Active_v1,1,n_a
Goal number f34f40df,T #4,fire_team_b,manoeuvre,false,n4,n6,type_b,1,3667,28171,43817,1,3,2,Active_v1,1,n_a
Goal number f34f40df,T #5,fire_team_a,manoeuvre,false,n3,n4,type_a,1,11412,39641,43817,1,3,2,Active_v1,1,n_a
Goal number f34f40df,T #6,fire_team_a,manoeuvre,false,n1,n5,type_b,1,4032,43758,43817,1,3,2,Active_v1,1,n_a
Goal number 77cb2c04,T #1,fire_team_b,manoeuvre,false,n4,n2,type_a,1,10557,10661,94372,4,1,1,Active_v1,1,n_a
Goal number 77cb2c04,T #2,fire_team_a,manoeuvre,false,n3,n1,type_c,3,15335,26060,94372,4,1,1,Active_v1,1,n_a
Goal number 77cb2c04,T #3,fire_team_b,manoeuvre,false,n6,n1,type_a,1,10320,36429,94372,4,1,1,Active_v1,1,n_a
Goal number 77cb2c04,T #4,fire_team_b,manoeuvre,false,n4,n3,type_a,2,20323,56797,94372,4,1,1,Active_v1,1,n_a
Goal number 77cb2c04,T #5,fire_team_b,manoeuvre,false,n5,n6,type_a,3,30432,87264,94372,4,1,1,Active_v1,1,n_a
Goal number 77cb2c04,T #6,fire_team_a,manoeuvre,false,n3,n4,type_b,2,7022,94330,94372,4,1,1,Active_v1,1,n_a
Goal number 546bafce,T #1,fire_team_b,manoeuvre,false,n5,n3,type_a,1,10410,10461,50029,1,4,1,Active_v1,1,n_a
Goal number 546bafce,T #2,fire_team_a,manoeuvre,false,n3,n2,type_c,2,10628,21135,50029,1,4,1,Active_v1,1,n_a
Goal number 546bafce,T #3,fire_team_a,manoeuvre,false,n2,n1,type_b,2,7098,28294,50029,1,4,1,Active_v1,1,n_a
Goal number 546bafce,T #4,fire_team_a,manoeuvre,false,n1,n4,type_b,1,3885,32252,50029,1,4,1,Active_v1,1,n_a
Goal number 546bafce,T #5,fire_team_b,manoeuvre,false,n4,n6,type_b,2,7021,39319,50029,1,4,1,Active_v1,1,n_a
Goal number 546bafce,T #6,fire_team_a,manoeuvre,false,n2,n1,type_b,3,10630,49996,50029,1,4,1,Active_v1,1,n_a
Goal number 7f99db97,T #1,fire_team_a,manoeuvre,false,n2,n1,type_a,1,10351,10408,82720,2,0,4,Active_v1,1,n_a
Goal number 7f99db97,T #2,fire_team_a,manoeuvre,false,n1,n1,type_a,3,30333,40785,82720,2,0,4,Active_v1,1,n_a
Goal number 7f99db97,T #3,fire_team_a,manoeuvre,false,n2,n3,type_c,2,10615,51446,82720,2,0,4,Active_v1,1,n_a
Goal number 7f99db97,T #4,fire_team_b,manoeuvre,false,n5,n2,type_c,2,10393,61890,82720,2,0,4,Active_v1,1,n_a
Goal number 7f99db97,T #5,fire_team_a,manoeuvre,false,n1,n4,type_c,2,10341,72297,82720,2,0,4,Active_v1,1,n_a
